pergunta_normalizada,cod_2023_2024,header_2023_2024,cod_2024_2025,header_2024_2025,cod_2025_2026,header_2025_2026,codigo_estavel
firebase,4.g.18,"('P4_g_18 ', 'Firebase')",4.g.18,4.g.18_Firebase,4.d.18,4.d.18_Firebase,NAO
firebird,4.g.33,"('P4_g_33 ', 'Firebird')",4.g.33,4.g.33_Firebird,4.d.33,4.d.33_Firebird,NAO
fivetran,6.b.11,"('P6_b_11 ', 'Fivetran')",6.b.11,6.b.11_Fivetran,6.b.11,6.b.11_Fivetran,sim
flexibilidade_de_trabalho_remoto,2.o.4,"('P2_o_4 ', 'Flexibilidade de trabalho remoto')",2.l.4,2.l.4_Flexibilidade de trabalho remoto,2.l.4,2.l.4_Flexibilidade de trabalho remoto,NAO
genero,1.b,"('P1_b ', 'Genero')",1.b,1.b_genero,1.b,1.b_genero,sim
google_bigquery,4.g.22,"('P4_g_22 ', 'Google BigQuery')",4.g.22,4.g.22_Google BigQuery,4.d.22,4.d.22_Google BigQuery,NAO
google_cloud_gcp,4.h.3,"('P4_h_3 ', 'Google Cloud (GCP)')",4.h.2,4.h.2_Google Cloud (GCP),4.e.2,4.e.2_Google Cloud (GCP),NAO
google_dataflow,6.b.12,"('P6_b_12 ', 'Google Dataflow')",6.b.12,6.b.12_Google Dataflow,6.b.12,6.b.12_Google Dataflow,sim
google_firestore,4.g.23,"('P4_g_23 ', 'Google Firestore')",4.g.23,4.g.23_Google Firestore,4.d.23,4.d.23_Google Firestore,NAO
grafana,4.j.19,"('P4_j_19 ', 'Grafana')",4.j.15,4.j.15_Grafana,4.g.15,4.g.15_Grafana,NAO
hbase,4.g.28,"('P4_g_28 ', 'HBase')",4.g.28,4.g.28_HBase,4.d.28,4.d.28_HBase,NAO
hive,4.g.32,"('P4_g_32 ', 'Hive')",4.g.32,4.g.32_Hive,4.d.32,4.d.32_Hive,NAO
ia_generativa_e_llms_como_principal_frente_do_negocio,3.f.6,"('P3_f_6 ', 'IA Generativa e LLMs como principal frente do negócio')",3.f.6,3.f.6 IA Generativa e LLMs como principal frente do negócio,3.f.6,3.f.6 IA Generativa e LLMs como principal frente do negócio,sim
ia_generativa_e_llms_nao_e_prioridade,3.f.7,"('P3_f_7 ', 'IA Generativa e LLMs não é prioridade')",3.f.7,3.f.7 IA Generativa e LLMs não é prioridade,3.f.7,3.f.7 IA Generativa e LLMs não é prioridade,sim
ibm,4.h.5,"('P4_h_5 ', 'IBM')",4.h.5,4.h.5_IBM,4.e.5,4.e.5_IBM,NAO
ibm_datastage,6.b.14,"('P6_b_14 ', 'IBM DataStage')",6.b.14,6.b.14_IBM DataStage,6.b.14,6.b.14_IBM DataStage,sim
idade,1.a,"('P1_a ', 'Idade')",1.a,1.a_idade,1.a,1.a_idade,sim
imagens,4.b.3,"('P4_b_3 ', 'Imagens')",4.b.3,4.b.3_Imagens,4.b.3,4.b.3_Imagens,sim
incerteza_em_relacao_a_regulamentacao,3.g.3,"('P3_g_3 ', 'Incerteza em relação a regulamentação')",3.g.3,3.g.3 Incerteza em relação a regulamentação,3.h.3,3.h.3 Incerteza em relação a regulamentação,NAO
julia,4.d.7,"('P4_d_7 ', 'Julia')",4.d.7,4.d.7_Julia,4.c.5,4.c.5_Julia,NAO
knime,6.b.19,"('P6_b_19 ', 'Knime')",6.b.19,6.b.19_Knime,6.b.19,6.b.19_Knime,sim
looker,4.j.7,"('P4_j_7 ', 'Looker')",4.j.7,4.j.7_Looker,4.g.7,4.g.7_Looker,NAO
looker_studio_google_data_studio,4.j.8,"('P4_j_8 ', 'Looker Studio(Google Data Studio)')",4.j.8,4.j.8_Looker Studio(Google Data Studio),4.g.8,4.g.8_Looker Studio(Google Data Studio),NAO
luigi,6.b.5,"('P6_b_5 ', 'Luigi')",6.b.5,6.b.5_Luigi,6.b.5,6.b.5_Luigi,sim
mariadb,4.g.9,"('P4_g_9 ', 'MariaDB')",4.g.9,4.g.9_MariaDB,4.d.9,4.d.9_MariaDB,NAO
maturidade_da_empresa_em_termos_de_tecnologia_e_dados,2.o.8,"('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')",2.l.8,2.l.8_Maturidade da empresa em termos de tecnologia e dados,2.l.8,2.l.8_Maturidade da empresa em termos de tecnologia e dados,NAO
metabase,4.j.4,"('P4_j_4 ', 'Metabase')",4.j.4,4.j.4_Metabase,4.g.4,4.g.4_Metabase,NAO
microsoft_access,4.g.15,"('P4_g_15 ', 'Microsoft Access')",4.g.15,4.g.15_Microsoft Access,4.d.15,4.d.15_Microsoft Access,NAO
microsoft_powerbi,4.j.1,"('P4_j_1 ', 'Microsoft PowerBI')",4.j.1,4.j.1_Microsoft PowerBI,4.g.1,4.g.1_Microsoft PowerBI,NAO
minha_empresa_nao_utiliza_essas_ferramentas,7.c.5,"('P7_c_5 ', 'Minha empresa não utiliza essas ferramentas.')",7.c.5,7.c.5_Minha empresa não utiliza essas ferramentas.,7.c.5,7.c.5_Minha empresa não utiliza essas ferramentas.,sim
modelando_solucoes_de_arquitetura_de_dados_criando_componentes_de_ingestao_de_dados_transformacao_e_recuperacao_da_informacao,6.h.5,"('P6_h_5 ', 'Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')",6.h.5,"6.h.5_Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",6.h.5,"6.h.5_Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",sim
modelo_solucoes_de_arquitetura_de_dados_criando_componentes_de_ingestao_de_dados_transformacao_e_recuperacao_da_informacao,6.a.5,"('P6_a_5 ', 'Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')",6.a.5,"6.a.5_Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",6.a.5,"6.a.5_Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",sim
mongodb,4.g.8,"('P4_g_8 ', 'MongoDB')",4.g.8,4.g.8_MongoDB,4.d.8,4.d.8_MongoDB,NAO
mysql,4.g.1,"('P4_g_1 ', 'MySQL')",4.g.1,4.g.1_MySQL,4.d.1,4.d.1_MySQL,NAO
nao_acredito_que_minha_experiencia_profissional_seja_afetada,1.e.1,"('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada')",1.e.1,1.e.1_Não acredito que minha experiência profissional seja afetada,1.e.1,1.e.1_Não acredito que minha experiência profissional seja afetada,sim
nao_sei_informar,7.c.6,"('P7_c_6 ', 'Não sei informar.')",7.c.6,7.c.6_Não sei informar.,7.c.6,7.c.6_Não sei informar.,sim
nao_sei_opinar_sobre_o_uso_de_ia_generativa_e_llms_na_empresa,3.f.8,"('P3_f_8 ', 'Não sei opinar sobre o uso de IA Generativa e LLMs na empresa')",3.f.8,3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,3.f.8,3.f.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,sim
nao_uso_solucoes_de_ai_generativa_com_foco_em_produtividade,4.m.1,"('P4_m_1 ', 'Não uso soluções de AI Generativa com foco em produtividade')",4.m.1,4.m.1 Não uso soluções de AI Generativa com foco em produtividade,4.j.1,4.j.1 Não uso soluções de AI Generativa com foco em produtividade,NAO
nao_utilizo_ferramentas_de_etl,6.b.21,"('P6_b_21 ', 'Não utilizo ferramentas de ETL')",6.b.21,6.b.21_Não utilizo ferramentas de ETL,6.b.21,6.b.21_Não utilizo ferramentas de ETL,sim
nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,4.j.23,"('P4_j_23 ', 'Não utilizo nenhuma ferramenta de BI no trabalho')",4.j.18,4.j.18_Não utilizo nenhuma ferramenta de BI no trabalho,4.g.18,4.g.18_Não utilizo nenhuma ferramenta de BI no trabalho,NAO
nenhuma_das_opcoes_listadas_refletem_meu_dia_a_dia,6.a.9,"('P6_a_9 ', 'Nenhuma das opções listadas refletem meu dia a dia.')",6.a.9,6.a.9_Nenhuma das opções listadas refletem meu dia a dia.,6.a.9,6.a.9_Nenhuma das opções listadas refletem meu dia a dia.,sim
neo4j,4.g.21,"('P4_g_21 ', 'Neo4J')",4.g.21,4.g.21_Neo4J,4.d.21,4.d.21_Neo4J,NAO
nivel,2.g,"('P2_g ', 'Nivel')",2.g,2.g_nivel,2.g,2.g_nivel,sim
nivel_de_cobranca_no_trabalho_stress_no_trabalho,1.f.6,"('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho')",1.f.6,1.f.6_Nível de cobrança no trabalho/Stress no trabalho,1.f.6,1.f.6_Nível de cobrança no trabalho/Stress no trabalho,sim
nivel_de_ensino,1.l,"('P1_l ', 'Nivel de Ensino')",1.l,1.l_nivel_de_ensino,1.l,1.l_nivel_de_ensino,sim
numero_de_funcionarios,2.c,"('P2_c ', 'Numero de Funcionarios')",2.c,2.c_numero_de_funcionarios,2.c,2.c_numero_de_funcionarios,sim
oportunidades_de_progressao_de_carreira,1.f.4,"('P1_f_4', 'Oportunidades de progressão de carreira')",1.f.4,1.f.4_Oportunidades de progressão de carreira,1.f.4,1.f.4_Oportunidades de progressão de carreira,sim
oracle,4.g.2,"('P4_g_2 ', 'Oracle')",4.g.2,4.g.2_Oracle,4.d.2,4.d.2_Oracle,NAO
oracle_business_intelligence,4.j.15,"('P4_j_15 ', 'Oracle Business Intelligence')",4.j.12,4.j.12_Oracle Business Intelligence,4.g.12,4.g.12_Oracle Business Intelligence,NAO
oracle_cloud,4.h.4,"('P4_h_4 ', 'Oracle Cloud')",4.h.4,4.h.4_Oracle Cloud,4.e.4,4.e.4_Oracle Cloud,NAO
oracle_data_integrator,6.b.13,"('P6_b_13 ', 'Oracle Data Integrator')",6.b.13,6.b.13_Oracle Data Integrator,6.b.13,6.b.13_Oracle Data Integrator,sim
pcd,1.d,"('P1_d ', 'PCD')",1.d,1.d_pcd,1.d,1.d_pcd,sim
pentaho,4.j.21,"('P4_j_21 ', 'Pentaho')",4.j.16,4.j.16_Pentaho,4.g.16,4.g.16_Pentaho,NAO
planilhas,4.b.7,"('P4_b_7 ', 'Planilhas')",4.b.7,4.b.7_Planilhas,4.b.7,4.b.7_Planilhas,sim
planilhas_excel_google_sheets_etc,8.c.2,"('P8_c_2 ', 'Planilhas (Excel, Google Sheets etc)')",8.c.2,"8.c.2_Planilhas (Excel, Google Sheets etc).",8.c.2,"8.c.2_Planilhas (Excel, Google Sheets etc).",sim
plataformas_de_data_apps_streamlit_shiny_plotly_dash_etc,8.c.10,"('P8_c_10 ', 'Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc)')",8.c.10,"8.c.10_Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc).",8.c.10,"8.c.10_Plataformas de Data Apps (Streamlit, Shiny, Plotly Dash etc).",sim
plataformas_de_machine_learning_tensorflow_azure_machine_learning_kubeflow_etc,8.c.7,"('P8_c_7 ', 'Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc)')",8.c.7,"8.c.7_Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc).",8.c.7,"8.c.7_Plataformas de Machine Learning (TensorFlow, Azure Machine Learning, Kubeflow etc).",sim
point_and_click_analytics_como_alteryx_knime_rapidminer_etc,7.c.2,"('P7_c_2 ', '""""Point and Click"""" Analytics como Alteryx, Knime, Rapidminer etc.')",7.c.2,"7.c.2_""Point and Click"" Analytics como Alteryx, Knime, Rapidminer etc.",7.c.2,"7.c.2_""Point and Click"" Analytics como Alteryx, Knime, Rapidminer etc.",sim
postgresql,4.g.12,"('P4_g_12 ', 'PostgreSQL')",4.g.12,4.g.12_PostgreSQL,4.d.12,4.d.12_PostgreSQL,NAO
preocupacoes_com_propriedade_intelectual,3.g.9,"('P3_g_9 ', 'Preocupações com propriedade intelectual')",3.g.9,3.g.9 Preocupações com propriedade intelectual,3.h.9,3.h.9 Preocupações com propriedade intelectual,NAO
preocupacoes_com_seguranca_e_privacidade_de_dados,3.g.4,"('P3_g_4 ', 'Preocupações com segurança e privacidade de dados')",3.g.4,3.g.4 Preocupações com segurança e privacidade de dados,3.h.4,3.h.4 Preocupações com segurança e privacidade de dados,NAO
presto,4.g.29,"('P4_g_29 ', 'Presto')",4.g.29,4.g.29_Presto,4.d.29,4.d.29_Presto,NAO
processando_e_analisando_dados_utilizando_linguagens_de_programacao_como_python_r_etc,7.d.1,"('P7_d_1 ', 'Processando e analisando dados utilizando linguagens de programação como Python, R etc.')",7.d.1,"7.d.1_Processando e analisando dados utilizando linguagens de programação como Python, R etc.",7.d.1,"7.d.1_Processando e analisando dados utilizando linguagens de programação como Python, R etc.",sim
processo_e_analiso_dados_utilizando_linguagens_de_programacao_como_python_r_etc,7.a.1,"('P7_a_1 ', 'Processo e analiso dados utilizando linguagens de programação como Python, R etc.')",7.a.1,"7.a.1_Processo e analiso dados utilizando linguagens de programação como Python, R etc.",7.a.1,"7.a.1_Processo e analiso dados utilizando linguagens de programação como Python, R etc.",sim
product_metricts_insights_como_mixpanel_amplitude_adobe_analytics,7.c.3,"('P7_c_3 ', 'Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.')",7.c.3,"7.c.3_Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.",7.c.3,"7.c.3_Product metricts & Insights como Mixpanel, Amplitude, Adobe Analytics.",sim
proposito_do_trabalho_e_da_empresa,2.o.3,"('P2_o_3 ', 'Propósito do trabalho e da empresa')",2.l.3,2.l.3_Propósito do trabalho e da empresa,2.l.3,2.l.3_Propósito do trabalho e da empresa,NAO
python,4.d.3,"('P4_d_3 ', 'Python')",4.d.3,4.d.3_Python,4.c.3,4.c.3_Python,NAO
qlik_sense,6.b.18,"('P6_b_18 ', 'Qlik Sense')",6.b.18,6.b.18_Qlik Sense,6.b.18,6.b.18_Qlik Sense,sim
qlik_view_qlik_sense,4.j.2,"('P4_j_2 ', 'Qlik View/Qlik Sense')",4.j.2,4.j.2_Qlik View/Qlik Sense,4.g.2,4.g.2_Qlik View/Qlik Sense,NAO
qualidade_dos_gestores_e_lideres,2.o.9,"('P2_o_9 ', 'Qualidade dos gestores e líderes')",2.o.9,2.o.9_Qualidade dos gestores e líderes,2.o.9,2.o.9_Qualidade dos gestores e líderes,sim
quantidade_de_oportunidades_de_emprego_vagas_recebidas,1.f.1,"('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')",1.f.1,1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,1.f.1,1.f.1_Quantidade de oportunidades de emprego/vagas recebidas,sim
r,4.d.2,"('P4_d_2 ', 'R ')",4.d.2,4.d.2_R,4.c.2,4.c.2_R,NAO
realizando_construcoes_de_dashboards_em_ferramentas_de_bi_como_powerbi_tableau_looker_qlik_etc,7.d.2,"('P7_d_2 ', 'Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.')",7.d.2,"7.d.2_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",7.d.2,"7.d.2_Realizando construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",sim
realizando_construcoes_de_etl_s_em_ferramentas_como_pentaho_talend_dataflow_etc,6.h.2,"('P6_h_2 ', 'Realizando construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')",6.h.2,"6.h.2_Realizando construções de ETL\s em ferramentas como Pentaho, Talend, Dataflow etc.",6.h.2,"6.h.2_Realizando construções de ETL\s em ferramentas como Pentaho, Talend, Dataflow etc.",sim
realizando_experimentos_e_estudos_utilizando_metodologias_estatisticas_como_teste_de_hipotese_modelos_de_regressao_etc,7.d.5,"('P7_d_5 ', 'Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.')",7.d.5,"7.d.5_Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",7.d.5,"7.d.5_Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",sim
realizo_construcoes_de_dashboards_em_ferramentas_de_bi_como_powerbi_tableau_looker_qlik_etc,7.a.2,"('P7_a_2 ', 'Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.')",7.a.2,"7.a.2_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",7.a.2,"7.a.2_Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.",sim
realizo_construcoes_de_etl_s_em_ferramentas_como_pentaho_talend_dataflow_etc,6.a.2,"('P6_a_2 ', 'Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')",6.a.2,"6.a.2_Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.",6.a.2,"6.a.2_Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.",sim
realizo_experimentos_e_estudos_utilizando_metodologias_estatisticas_como_teste_de_hipotese_modelos_de_regressao_etc,7.a.5,"('P7_a_5 ', 'Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.')",7.a.5,"7.a.5_Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",7.a.5,"7.a.5_Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",sim
realizo_previsoes_atraves_de_modelos_de_series_temporais_time_series,8.b.9,"('P8_b_9 ', 'Realizo previsões através de modelos de Séries Temporais (Time Series)')",8.b.9,8.b.9_Realizo previsões através de modelos de Séries Temporais (Time Series).,8.b.9,8.b.9_Realizo previsões através de modelos de Séries Temporais (Time Series).,sim
redash,4.j.6,"('P4_j_6 ', 'Redash')",4.j.6,4.j.6_Redash,4.g.6,4.g.6_Redash,NAO
redis,4.g.20,"('P4_g_20 ', 'Redis')",4.g.20,4.g.20_Redis,4.d.20,4.d.20_Redis,NAO
regiao_de_origem,1.k,"('P1_k ', 'Regiao de origem')",1.k.2,1.k.2_regiao_de_origem,1.k.2,1.k.2_regiao_de_origem,NAO
regiao_onde_mora,1.i.2,"('P1_i_2 ', 'Regiao onde mora')",1.i.2,1.i.2_regiao_onde_mora,1.i.2,1.i.2_regiao_onde_mora,sim
remuneracao_salario,2.o.1,"('P2_o_1 ', 'Remuneração/Salário')",2.l.1,2.l.1_Remuneração/Salário,2.l.1,2.l.1_Remuneração/Salário,NAO
reputacao_que_a_empresa_tem_no_mercado,2.o.10,"('P2_o_10 ', 'Reputação que a empresa tem no mercado')",2.l.10,2.l.10_Reputação que a empresa tem no mercado,2.l.10,2.l.10_Reputação que a empresa tem no mercado,NAO
retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,3.g.5,"('P3_g_5 ', 'Retorno sobre investimento (ROI) não comprovado de IA Generativa')",3.g.5,3.g.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,3.h.5,3.h.5 Retorno sobre investimento (ROI) não comprovado de IA Generativa,NAO
rust,4.d.12,"('P4_d_12 ', 'Rust')",4.d.12,4.d.12_Rust,4.c.9,4.c.9_Rust,NAO
s3,4.g.11,"('P4_g_11 ', 'S3')",4.g.11,4.g.11_S3,4.d.11,4.d.11_S3,NAO
salesforce_einstein_analytics,4.j.16,"('P4_j_16 ', 'Salesforce/Einstein Analytics')",4.j.13,4.j.13_Salesforce/Einstein Analytics,4.g.13,4.g.13_Salesforce/Einstein Analytics,NAO
sap_business_objects_sap_analytics,4.j.14,"('P4_j_14 ', 'SAP Business Objects/SAP Analytics')",4.j.11,4.j.11_SAP Business Objects/SAP Analytics,4.g.11,4.g.11_SAP Business Objects/SAP Analytics,NAO
sap_bw_etl,6.b.15,"('P6_b_15 ', 'SAP BW ETL')",6.b.15,6.b.15_SAP BW ETL,6.b.15,6.b.15_SAP BW ETL,sim
sap_hana,4.g.31,"('P4_g_31 ', 'SAP HANA')",4.g.31,4.g.31_SAP HANA,4.d.31,4.d.31_SAP HANA,NAO
sas_data_integration,6.b.17,"('P6_b_17 ', 'SAS Data Integration')",6.b.17,6.b.17_SAS Data Integration,6.b.17,6.b.17_SAS Data Integration,sim
sas_visual_analytics,4.j.18,"('P4_j_18 ', 'SAS Visual Analytics')",4.j.14,4.j.14_SAS Visual Analytics,4.g.14,4.g.14_SAS Visual Analytics,NAO
scala,4.d.10,"('P4_d_10 ', 'Scala')",4.d.10,4.d.10_Scala,4.c.7,4.c.7_Scala,NAO
scripts_python,6.b.1,"('P6_b_1 ', 'Scripts Python')",6.b.1,6.b.1_Scripts Python,6.b.1,6.b.1_Scripts Python,sim
senioridade_das_vagas_recebidas_em_relacao_a_sua_experiencia,1.f.2,"('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência')",1.f.2,1.f.2_Senioridade das vagas recebidas em relação à sua experiência,1.f.2,1.f.2_Senioridade das vagas recebidas em relação à sua experiência,sim
servidores_on_premise_nao_utilizamos_cloud,4.h.6,"('P4_h_6 ', 'Servidores On Premise/Não utilizamos Cloud')",4.h.6,4.h.6_Servidores On Premise/Não utilizamos Cloud,4.e.6,4.e.6_Servidores On Premise/Não utilizamos Cloud,NAO
setor,2.b,"('P2_b ', 'Setor')",2.b,2.b_setor,2.b,2.b_setor,sim
sistemas_de_controle_de_versao_github_dvc_neptune_gitlab_etc,8.c.9,"('P8_c_9 ', 'Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc)')",8.c.9,"8.c.9_Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc).",8.c.9,"8.c.9_Sistemas de controle de versão (Github, DVC, Neptune, Gitlab etc).",sim
snowflake,4.g.26,"('P4_g_26 ', 'Snowflake')",4.g.26,4.g.26_Snowflake,4.d.26,4.d.26_Snowflake,NAO
sou_responsavel_pela_coleta_e_limpeza_dos_dados_que_uso_para_analise_e_modelagem,8.a.2,"('P8_a_2 ', 'Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.')",8.a.2,8.a.2_Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.,8.a.2,8.a.2_Sou responsável pela coleta e limpeza dos dados que uso para análise e modelagem.,sim
sou_responsavel_por_colocar_modelos_em_producao_criar_os_pipelines_de_dados_apis_de_consumo_e_monitoramento,8.a.5,"('P8_a_5 ', 'Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.')",8.a.5,"8.a.5_Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.",8.a.5,"8.a.5_Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.",sim
sou_responsavel_por_criar_e_manter_a_infra_que_meus_modelos_e_solucoes_rodam_clusters_servidores_api_containers_etc,8.a.11,"('P8_a_11 ', 'Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)')",8.a.11,"8.a.11_Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",8.a.11,"8.a.11_Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",sim
sou_responsavel_por_entrar_em_contato_com_os_times_de_negocio_para_definicao_do_problema_identificar_a_solucao_e_apresentacao_de_resultados,8.a.3,"('P8_a_3 ', 'Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.')",8.a.3,"8.a.3_Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",8.a.3,"8.a.3_Sou responsável por entrar em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",sim
splunk,4.g.30,"('P4_g_30 ', 'Splunk')",4.g.30,4.g.30_Splunk,4.d.30,4.d.30_Splunk,NAO
sql,4.d.1,"('P4_d_1 ', 'SQL')",4.d.1,4.d.1_SQL,4.c.1,4.c.1_SQL,NAO
sql_server,4.g.3,"('P4_g_3 ', 'SQL SERVER')",4.g.3,4.g.3_SQL SERVER,4.d.3,4.d.3_SQL SERVER,NAO
sql_server_integration_services_ssis,6.b.16,"('P6_b_16 ', 'SQL Server Integration Services (SSIS))",6.b.16,6.b.16_SQL Server Integration Services (SSIS),6.b.16,6.b.16_SQL Server Integration Services (SSIS),sim
sql_stored_procedures,6.b.2,"('P6_b_2 ', 'SQL & Stored Procedures')",6.b.2,6.b.2_SQL & Stored Procedures,6.b.2,6.b.2_SQL & Stored Procedures,sim
sqlite,4.g.16,"('P4_g_16 ', 'SQLite')",4.g.16,4.g.16_SQLite,4.d.16,4.d.16_SQLite,NAO
stitch,6.b.10,"('P6_b_10 ', 'Stitch')",6.b.10,6.b.10_Stitch,6.b.10,6.b.10_Stitch,sim
superset,4.j.5,"('P4_j_5 ', 'Superset')",4.j.5,4.j.5_Superset,4.g.5,4.g.5_Superset,NAO
sybase,4.g.17,"('P4_g_17 ', 'Sybase')",4.g.17,4.g.17_Sybase,4.d.17,4.d.17_Sybase,NAO
tableau,4.j.3,"('P4_j_3 ', 'Tableau')",4.j.3,4.j.3_Tableau,4.g.3,4.g.3_Tableau,NAO
talend,6.b.7,"('P6_b_7 ', 'Talend')",6.b.7,6.b.7_Talend,6.b.7,6.b.7_Talend,sim
textos_documentos,4.b.4,"('P4_b_4 ', 'Textos/Documentos')",4.b.4,4.b.4_Textos/Documentos,4.b.4,4.b.4_Textos/Documentos,sim
treinando_e_aplicando_llm_s_para_solucionar_problemas_de_negocio,8.d.12,"('P8_d_12 ', 'Treinando e aplicando LLM's para solucionar problemas de negócio.')",8.d.12,8.d.12_Treinando e aplicando LLM's para solucionar problemas de negócio.,8.d.12,8.d.12_Treinando e aplicando LLM's para solucionar problemas de negócio.,sim
treino_e_aplico_llm_s_para_solucionar_problemas_de_negocio,8.a.12,"('P8_a_12 ', 'Treino e aplico LLM's para solucionar problemas de negócio.')",8.a.12,8.a.12_Treino e aplico LLM's para solucionar problemas de negócio.,8.a.12,8.a.12_Treino e aplico LLM's para solucionar problemas de negócio.,sim
uf_onde_mora,1.i.1,"('P1_i_1 ', 'uf onde mora')",1.i.1,1.i.1_uf_onde_mora,1.i.1,1.i.1_uf_onde_mora,sim
uso_e_pago_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,4.m.3,"('P4_m_3 ', 'Uso e pago pelas soluções de AI Generativa com foco em produtividade')",4.m.3,4.m.3 Uso e pago pelas soluções de AI Generativa com foco em produtividade,4.j.3,4.j.3 Uso e pago pelas soluções de AI Generativa com foco em produtividade,NAO
uso_solucoes_do_tipo_copilot,4.m.5,"('P4_m_5 ', 'Uso soluções do tipo Copilot')",4.m.5,4.m.5 Uso soluções do tipo Copilot,4.j.5,4.j.5 Uso soluções do tipo Copilot,NAO
uso_solucoes_gratuitas_de_ai_generativa_com_foco_em_produtividade,4.m.2,"('P4_m_2 ', 'Uso soluções gratuitas de AI Generativa com foco em produtividade')",4.m.2,4.m.2 Uso soluções gratuitas de AI Generativa com foco em produtividade,4.j.2,4.j.2 Uso soluções gratuitas de AI Generativa com foco em produtividade,NAO
utilizando_api_s_para_extrair_dados_e_complementar_minhas_analises,7.d.4,"('P7_d_4 ', 'Utilizando API's para extrair dados e complementar minhas análises.')",7.d.4,7.d.4_Utilizando API's para extrair dados e complementar minhas análises.,7.d.4,7.d.4_Utilizando API's para extrair dados e complementar minhas análises.,sim
utilizando_ferramentas_avancadas_de_estatistica_como_sas_spss_stata_etc_para_realizar_analises,7.d.9,"('P7_d_9 ', 'Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.')",8.d.8,"8.d.8_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.",8.d.8,"8.d.8_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.",NAO
